Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,,
1857,24.28,29.30%,0.0055,7.11404,0.09441278
1858,21.96,17.77%,0.0003,3.902292,0.0054173124
1859,6.3,17.62%,0.0042,1.11006,0.021797748
1860,3.63,13.08%,0.0091,0.474804,0.0287122836
1861,6.26,37.50%,0.0027,2.3475,0.01056375
1862,20.63,13.81%,0.0023,2.849003,0.0408962931
1863,8.36,1.22%,0.0096,0.101992,0.0792768768
1864,16.68,21.68%,0.009,3.616224,0.117573984
1865,20.65,28.85%,0.0001,5.957525,0.0014692475
1866,12.73,32.27%,0.0097,4.107971,0.0836336813
1867,0.35,37.20%,0.0074,0.1302,0.00162652
1868,1.23,30.00%,0.0097,0.369,0.0083517
1869,23.13,28.03%,0.0079,6.483339,0.1315086219
1870,8.61,17.51%,0.0048,1.507611,0.0340914672
1871,24.71,3.95%,0.0013,0.976045,0.0308541415
1872,7.05,4.70%,0.0099,0.33135,0.066514635
1873,2.49,37.60%,0.0029,0.93624,0.004505904
1874,14.61,6.06%,0.0004,0.885366,0.0054898536
1875,0.2,30.36%,0.0008,0.06072,0.000111424
1876,19.41,28.96%,0.0062,5.621136,0.0854909568
1877,18.89,7.36%,0.0042,1.390304,0.0734987232
1878,6.24,16.93%,0.0026,1.056432,0.0134772768
1879,6.12,7.53%,0.0087,0.460836,0.0492347268
1880,21.05,20.89%,0.0036,4.397345,0.059949558
1881,20.56,36.05%,0.0021,7.41188,0.027611052
1882,15.6,0.81%,0.0055,0.12636,0.08510502
1883,19.1,28.15%,0.0067,5.37665,0.091946445
1884,21.96,12.67%,0.0059,2.782332,0.1131482412
1885,17.12,30.68%,0.0016,5.252416,0.0189881344
1886,6.4,17.35%,0.0076,1.1104,0.04020096
1887,15.99,3.65%,0.004,0.583635,0.06162546
1888,1.74,18.00%,0.0095,0.3132,0.0135546
1889,16.42,24.59%,0.0083,4.037678,0.1027732726
1890,13.15,5.42%,0.0013,0.71273,0.016168451
1891,12.49,20.41%,0.0091,2.549209,0.0904611981
1892,10.29,9.53%,0.0009,0.980637,0.0083784267
1893,4.34,3.74%,0.0059,0.162316,0.0246483356
1894,15.75,1.19%,0.0025,0.187425,0.0389064375
1895,13.95,17.40%,0.0031,2.4273,0.03572037
1896,2.81,13.11%,0.0025,0.368391,0.0061040225
1897,2.32,23.75%,0.0084,0.551,0.0148596
1898,4.87,10.33%,0.0093,0.503071,0.0406124397
1899,5.5,11.83%,0.0049,0.65065,0.023761815
1900,19.58,17.91%,0.0093,3.506778,0.1494809646
1901,24.31,13.16%,0.0059,3.199196,0.1245537436
1902,14.14,24.52%,0.0029,3.467128,0.0309513288
1903,4.79,37.96%,0.0074,1.818284,0.0219906984
1904,18.27,38.31%,0.0092,6.999237,0.1036910196
1905,22.67,1.92%,0.01,0.435264,0.22234736
1906,10.88,14.75%,0.0019,1.6048,0.01762288
1907,15.05,11.80%,0.0065,1.7759,0.08628165
1908,10.22,10.32%,0.0069,1.054704,0.0632405424
1909,1.1,20.06%,0.0074,0.22066,0.006507116
1910,7.71,10.10%,0.0096,0.77871,0.066540384
1911,21.13,20.91%,0.0044,4.418283,0.0735315548
1912,8.87,34.40%,0.0062,3.05128,0.036076064
1913,8.14,20.85%,0.0098,1.69719,0.063139538
1914,21.09,20.38%,0.0039,4.298142,0.0654882462
1915,21.26,37.64%,0.0013,8.002264,0.0172350568
1916,22.02,16.63%,0.008,3.661926,0.146864592
1917,8.81,24.29%,0.0011,2.139949,0.0073370561
1918,21.11,36.86%,0.0069,7.781146,0.0919690926
1919,2.16,22.93%,0.0046,0.495288,0.0076576752
1920,9.49,3.22%,0.0039,0.305578,0.0358192458
1921,22.63,29.58%,0.0091,6.693954,0.1450180186
1922,1.02,5.45%,0.004,0.05559,0.00385764
1923,9.29,27.45%,0.0079,2.550105,0.0532451705
1924,6.49,14.83%,0.0098,0.962467,0.0541698234
1925,10.36,2.80%,0.0069,0.29008,0.069482448
1926,3.49,12.28%,0.0093,0.428572,0.0284712804
1927,19.34,36.73%,0.0059,7.103582,0.0721948662
1928,9.74,2.89%,0.0085,0.281486,0.080397369
1929,6.94,18.32%,0.0003,1.271408,0.0017005776
1930,18.65,29.89%,0.006,5.574485,0.07845309
1931,3.72,12.86%,0.0051,0.478392,0.0165322008
1932,7.57,38.61%,0.0065,2.922777,0.0302069495
1933,1.13,0.32%,0.0071,0.003616,0.0079973264
1934,8.01,8.74%,0.0012,0.700074,0.0087719112
1935,19.56,26.28%,0.0057,5.140368,0.0821919024
1936,3.54,36.92%,0.0045,1.306968,0.010048644
1937,2.38,23.23%,0.0011,0.552874,0.0020098386
1938,16.58,32.62%,0.0066,5.408396,0.0737325864
1939,14.13,31.25%,0.0021,4.415625,0.0204001875
1940,3.98,30.26%,0.0001,1.204348,0.0002775652
1941,20.96,9.29%,0.003,1.947184,0.057038448
1942,24.33,15.56%,0.0073,3.785748,0.1499730396
1943,12.46,27.27%,0.009,3.397842,0.081559422
1944,16.71,8.36%,0.0089,1.396956,0.1362860916
1945,18.98,2.50%,0.0012,0.4745,0.0222066
1946,20.42,7.87%,0.0046,1.607054,0.0865395516
1947,22.12,39.64%,0.0003,8.768368,0.0040054896
1948,2.94,13.22%,0.0039,0.388668,0.0099501948
1949,21.83,2.01%,0.0097,0.438783,0.2074948049
1950,10.76,20.55%,0.0072,2.21118,0.061551504
1951,17.83,16.50%,0.0097,2.94195,0.144414085
1952,7.23,3.03%,0.0051,0.219069,0.0357557481
1953,3.81,11.58%,0.0019,0.441198,0.0064007238
1954,7.69,20.35%,0.0079,1.564915,0.0483881715
1955,7.74,31.29%,0.0043,2.421846,0.0228680622
1956,6.58,28.53%,0.0019,1.877274,0.0089351794
1957,2.46,12.82%,0.0091,0.315372,0.0195161148
1958,22.25,0.02%,0.0027,0.00445,0.060062985
1959,16.01,35.62%,0.007,5.702762,0.072150666
1960,21.44,20.68%,0.0046,4.433792,0.0782285568
1961,5.57,9.18%,0.0085,0.511326,0.042998729
1962,4.87,4.89%,0.0064,0.238143,0.0296438848
1963,12.4,32.46%,0.0053,4.02504,0.044387288
1964,19.38,37.38%,0.0092,7.244244,0.1116489552
1965,18.3,7.80%,0.0069,1.4274,0.11642094
1966,22.82,38.80%,0.0033,8.85416,0.046087272
1967,2.55,35.23%,0.0085,0.898365,0.0140388975
1968,6.03,21.37%,0.0045,1.288611,0.0213362505
1969,12.21,18.55%,0.0049,2.264955,0.0487307205
1970,10.21,39.04%,0.004,3.985984,0.024896064
1971,24.48,37.56%,0.0062,9.194688,0.0947689344
1972,0.55,28.35%,0.0082,0.155925,0.003231415
1973,0.09,34.89%,0.007,0.031401,0.000410193
1974,19.2,0.62%,0.001,0.11904,0.01908096
1975,10.64,11.09%,0.0006,1.179976,0.0056760144
1976,4.89,6.52%,0.0044,0.318828,0.0201131568
1977,1.87,17.98%,0.0076,0.336226,0.0116566824
1978,22.33,16.46%,0.0045,3.675518,0.083945169
1979,21.5,31.99%,0.0069,6.87785,0.100892835
1980,23.28,12.83%,0.0074,2.986824,0.1501695024
1981,10.32,18.61%,0.0085,1.920552,0.071395308
1982,12.49,32.59%,0.0021,4.070491,0.0176809689
1983,11.02,22.45%,0.0069,2.47399,0.058967469
1984,22.49,31.65%,0.0073,7.118085,0.1122149795
1985,8.34,3.56%,0.0089,0.296904,0.0715835544
1986,19.41,31.49%,0.003,6.112209,0.039893373
1987,15.75,10.90%,0.0065,1.71675,0.091216125
1988,6.34,3.63%,0.0052,0.230142,0.0317712616
1989,23.24,29.57%,0.0038,6.872068,0.0621981416
1990,5.9,19.86%,0.0005,1.17174,0.00236413
1991,2.45,8.23%,0.0041,0.201635,0.0092182965
1992,8.43,5.46%,0.0037,0.460278,0.0294879714
1993,22.16,17.13%,0.0087,3.796008,0.1597667304
1994,22.89,30.38%,0.0034,6.953982,0.0541824612
1995,13.91,26.28%,0.0011,3.655548,0.0112798972
1996,7.02,23.01%,0.0027,1.615302,0.0145926846
1997,11.7,6.65%,0,0.77805,0
1998,21.24,0.67%,0.0097,0.142308,0.2046476124
1999,24.38,32.61%,0.009,7.950318,0.147867138
2000,15.39,17.57%,0.0099,2.704023,0.1255911723
2001,1.94,11.16%,0.0044,0.216504,0.0075833824
2002,7.93,28.58%,0.0062,2.266394,0.0351143572
2003,12.97,9.83%,0.0052,1.274951,0.0608142548
2004,8.25,15.94%,0.0057,1.31505,0.039529215
2005,8.64,33.83%,0.01,2.922912,0.05717088
2006,5.67,2.61%,0.0005,0.147987,0.0027610065
2007,8.87,18.20%,0.0027,1.61434,0.019590282
2008,17.68,33.91%,0.0048,5.995288,0.0560866176
2009,22.92,9.65%,0.0074,2.21178,0.153240828
2010,19.57,20.57%,0.0023,4.025549,0.0357522373
2011,10.46,29.33%,0.0076,3.067918,0.0561798232
2012,7.76,22.90%,0.0089,1.77704,0.053248344
2013,4.8,10.90%,0.0056,0.5232,0.02395008
2014,20.06,24.38%,0.0029,4.890628,0.0439911788
2015,4.3,3.53%,0.0007,0.15179,0.002903747
2016,17.42,18.84%,0.0091,3.281928,0.1286564552
2017,3.76,17.98%,0.0018,0.676048,0.0055511136
2018,8.07,28.52%,0.0012,2.301564,0.0069221232
2019,1.6,28.24%,0.0047,0.45184,0.005396352
2020,7.76,15.12%,0.0008,1.173312,0.0052693504
2021,2.36,14.99%,0.0093,0.353764,0.0186579948
2022,13.37,3.71%,0.0027,0.496027,0.0347597271
2023,12.53,4.14%,0.0005,0.518742,0.006005629
2024,23.33,6.92%,0.0026,1.614436,0.0564604664
2025,21.11,14.95%,0.0013,3.155945,0.0233402715
2026,15.8,8.89%,0.009,1.40462,0.12955842
2027,20.75,24.68%,0.0023,5.1211,0.03594647
2028,14.7,31.26%,0.0084,4.59522,0.084880152
2029,4.2,32.55%,0.003,1.3671,0.0084987
2030,7.32,9.73%,0.0032,0.712236,0.0211448448
2031,9.86,17.71%,0.0006,1.746206,0.0048682764
2032,19.24,31.41%,0.0043,6.043284,0.0567458788
2033,0.08,35.96%,0.0024,0.028768,0.0001229568
2034,1.19,28.94%,0.0032,0.344386,0.0027059648
2035,1.58,4.65%,0.0027,0.07347,0.004067631
2036,23.19,4.42%,0.006,1.024998,0.132990012
2037,11.3,13.83%,0.0064,1.56279,0.062318144
2038,8.98,28.95%,0.0095,2.59971,0.060612755
2039,22.21,30.34%,0.0037,6.738514,0.0572444982
2040,21.95,14.03%,0.0077,3.079585,0.1453021955
2041,14.28,36.17%,0.0019,5.165076,0.0173183556
2042,16.4,7.81%,0.0003,1.28084,0.004535748
2043,15.22,1.67%,0.0003,0.254174,0.0044897478
2044,5.64,25.30%,0.0097,1.42692,0.040866876
2045,24.02,28.54%,0.0029,6.855308,0.0497776068
2046,7.21,19.00%,0.0002,1.3699,0.00116802
2047,9.86,29.55%,0.0094,2.91363,0.065295878
2048,23.33,31.66%,0.01,7.386278,0.15943722
2049,23.5,2.79%,0.0037,0.65565,0.084524095
2050,6.52,6.42%,0.0037,0.418584,0.0225752392
2051,6.71,26.36%,0.0085,1.768756,0.042000574
2052,7.18,15.93%,0.0003,1.143774,0.0018108678
2053,19.55,3.09%,0.0084,0.604095,0.159145602
2054,14.05,6.68%,0.0004,0.93854,0.005244584
2055,9.05,4.17%,0.0023,0.377385,0.0199470145
2056,18.51,30.03%,0.001,5.558553,0.012951447
2057,1.78,15.49%,0.0027,0.275722,0.0040615506
2058,13.82,26.23%,0.0085,3.624986,0.086657619
2059,19.81,37.27%,0.0077,7.383187,0.0956864601
2060,24.57,22.16%,0.0013,5.444712,0.0248628744
2061,11.16,26.38%,0.0017,2.944008,0.0139671864
2062,17.82,17.39%,0.0064,3.098898,0.0942150528
2063,5.77,8.80%,0.0053,0.50776,0.027889872
2064,20.33,24.92%,0.0054,5.066236,0.0824243256
2065,12.44,27.54%,0.0098,3.425976,0.0883374352
2066,21.01,34.77%,0.0046,7.305177,0.0630421858
2067,23.81,28.66%,0.006,6.823946,0.101916324
2068,22,29.82%,0.0033,6.5604,0.05095068
2069,14.4,16.32%,0.0021,2.35008,0.025304832
2070,5.08,17.75%,0.0074,0.9017,0.03091942
2071,4.41,5.65%,0.0055,0.249165,0.0228845925
2072,1.35,23.45%,0.0017,0.316575,0.0017568225
2073,20.38,13.30%,0.0002,2.71054,0.003533892
2074,10.84,17.08%,0.0011,1.851472,0.0098873808
2075,9.43,33.54%,0.0018,3.162822,0.0112809204
2076,18.25,12.10%,0.0076,2.20825,0.1219173
2077,7.64,0.58%,0.0084,0.044312,0.0638037792
2078,7.21,33.28%,0.0046,2.399488,0.0221283552
2079,2.15,18.68%,0.0006,0.40162,0.001049028
2080,13.65,3.90%,0.0031,0.53235,0.040664715
2081,3.82,4.35%,0.0086,0.16617,0.031422938
2082,5.13,0.87%,0.0071,0.044631,0.0361061199
2083,12.51,28.25%,0.0028,3.534075,0.02513259
2084,0.62,39.47%,0.0074,0.244714,0.0027771164
2085,21.14,26.05%,0.0043,5.50697,0.067222029
2086,8.55,14.29%,0.0038,1.221795,0.027847179
2087,2.62,25.40%,0.0025,0.66548,0.0048863
2088,3.62,21.18%,0.0023,0.766716,0.0065625532
2089,11.58,8.74%,0.0002,1.012092,0.0021135816
2090,20.62,30.89%,0.005,6.369518,0.07125241
2091,10.33,2.13%,0.0024,0.220029,0.0242639304
2092,16.78,3.57%,0.0039,0.599046,0.0631057206
2093,5.25,22.44%,0.0065,1.1781,0.02646735
2094,7.95,7.70%,0.0052,0.61215,0.03815682
2095,19.25,29.74%,0.0088,5.72495,0.11902044
2096,12.21,2.08%,0.0096,0.253968,0.1147779072
2097,18.77,25.11%,0.0082,4.713147,0.1152661946
2098,8.41,14.35%,0.0086,1.206835,0.061947219
2099,11.04,39.84%,0.0046,4.398336,0.0305516544
2100,24.88,29.82%,0.0099,7.419216,0.1728617616
2101,17.41,9.41%,0.0093,1.638281,0.1466769867
2102,23.04,16.98%,0.0017,3.912192,0.0325172736
2103,16.13,4.24%,0.0015,0.683912,0.023169132
2104,19.78,34.62%,0.0051,6.847836,0.0659540364
2105,16.4,29.22%,0.0043,4.79208,0.049914056
2106,9.74,0.38%,0.0028,0.037012,0.0271683664
2107,3.32,15.62%,0.0078,0.518584,0.0218510448
2108,12.56,23.42%,0.0005,2.941552,0.004809224
2109,3.87,8.50%,0.0021,0.32895,0.007436205
2110,5.42,2.09%,0.0014,0.113278,0.0074294108
2111,13.94,9.02%,0.0013,1.257388,0.0164873956
2112,9.64,12.47%,0.0031,1.202108,0.0261574652
2113,1.88,29.81%,0.0069,0.560428,0.0091050468
2114,1.4,21.36%,0.0051,0.29904,0.005614896
2115,5.95,0.70%,0.0048,0.04165,0.02836008
2116,13.08,34.04%,0.0037,4.452432,0.0319220016
2117,9.55,7.99%,0.008,0.763045,0.07029564
2118,24.05,6.30%,0.0084,1.51515,0.18929274
2119,14.95,3.59%,0.0035,0.536705,0.0504465325
2120,17.09,20.54%,0.0032,3.510286,0.0434550848
2121,14.06,28.69%,0.0012,4.033814,0.0120314232
2122,11.33,36.63%,0.0012,4.150179,0.0086157852
2123,10.47,5.74%,0.0098,0.600978,0.0967164156
2124,2.57,4.20%,0.002,0.10794,0.00492412
2125,21.53,0.01%,0.0034,0.002153,0.0731946798
2126,0.43,26.32%,0.0053,0.113176,0.0016791672
2127,18.36,27.76%,0.0001,5.096736,0.0013263264
2128,21.11,22.74%,0.0099,4.800414,0.1614649014
2129,1.34,30.69%,0.0065,0.411246,0.006036901
2130,10.02,12.72%,0.0038,1.274544,0.0332327328
2131,15.47,22.39%,0.0005,3.463733,0.0060031335
2132,15.6,32.26%,0.0066,5.03256,0.069745104
2133,8.99,6.66%,0.0059,0.598734,0.0495084694
2134,2.15,12.78%,0.0022,0.27477,0.004125506
2135,12.78,17.23%,0.0065,2.201994,0.068757039
2136,24.67,37.55%,0.0041,9.263585,0.0631663015
2137,20.58,28.38%,0.0036,5.840604,0.0530618256
2138,18.03,26.13%,0.0011,4.711239,0.0146506371
2139,12.34,23.06%,0.0023,2.845604,0.0218371108
2140,9.49,28.41%,0.0024,2.696109,0.0163053384
2141,22.26,36.74%,0.002,8.178324,0.028163352
2142,5.98,23.31%,0.0005,1.393938,0.002293031
2143,6.4,29.40%,0.0098,1.8816,0.04428032
2144,11.31,15.43%,0.003,1.745133,0.028694601
2145,3.3,10.57%,0.0025,0.34881,0.007377975
2146,3.87,33.09%,0.0068,1.280583,0.0176080356
2147,18.45,1.55%,0.001,0.285975,0.018164025
2148,7.31,33.30%,0.0056,2.43423,0.027304312
2149,20.66,4.69%,0.0001,0.968954,0.0019691046
2150,23.95,9.78%,0.0085,2.34231,0.183665365
2151,2.17,22.97%,0.0007,0.498449,0.0011700857
2152,15.12,37.58%,0.0027,5.682096,0.0254823408
2153,19.13,16.15%,0.003,3.089495,0.048121515
2154,9.26,3.49%,0.0057,0.323174,0.0509399082
2155,16.09,14.20%,0.0091,2.28478,0.125627502
2156,12.94,22.62%,0.0025,2.927028,0.02503243
2157,10.75,38.90%,0.006,4.18175,0.0394095
2158,12.25,36.24%,0.0087,4.4394,0.06795222
2159,14.48,18.89%,0.0029,2.735272,0.0340597112
2160,9.38,24.40%,0.0094,2.28872,0.066658032
2161,6.75,24.08%,0.0069,1.6254,0.03535974
2162,17.96,12.22%,0.0045,2.194712,0.070943796
2163,16.91,0.24%,0.0021,0.040584,0.0354257736
2164,11.84,23.47%,0.0013,2.778848,0.0117794976
2165,13.32,39.72%,0.0046,5.290704,0.0369347616
2166,11.4,19.74%,0.0063,2.25036,0.057642732
2167,10.27,21.93%,0.0011,2.252211,0.0088195679
2168,12.27,30.91%,0.0055,3.792657,0.0466253865
2169,22.41,19.75%,0.0057,4.425975,0.1025089425
2170,23.84,18.65%,0.001,4.44616,0.01939384
2171,4.21,4.61%,0.0035,0.194081,0.0140557165
2172,23.69,3.72%,0.0007,0.881268,0.0159661124
2173,19.25,23.16%,0.0029,4.4583,0.04289593
2174,0.87,29.59%,0.0076,0.257433,0.0046555092
2175,13.4,2.26%,0.007,0.30284,0.09168012
2176,9.32,17.14%,0.0051,1.597448,0.0393850152
2177,13.09,25.30%,0.0063,3.31177,0.061602849
2178,6.72,2.40%,0.0037,0.16128,0.024267264
2179,14.3,14.82%,0.0077,2.11926,0.093791698
2180,7.01,15.68%,0.0008,1.099168,0.0047286656
2181,2.78,26.94%,0.0099,0.748932,0.0201075732
2182,15.9,2.29%,0.0028,0.36411,0.043500492
2183,22.58,18.32%,0.0002,4.136656,0.0036886688
2184,9.05,25.19%,0.0019,2.279695,0.0128635795
2185,16.66,7.79%,0.0093,1.297814,0.1428683298
2186,5.46,5.83%,0.0061,0.318318,0.0313642602
2187,4.83,22.25%,0.0044,1.074675,0.01652343
2188,11.38,13.16%,0.001,1.497608,0.009882392
2189,14.96,3.20%,0.0006,0.47872,0.008688768
2190,22.35,21.31%,0.0053,4.762785,0.0932122395
2191,9.79,19.29%,0.0022,1.888491,0.0173833198
2192,23.61,39.69%,0.0059,9.370809,0.0840112269
2193,19.97,4.58%,0.0011,0.914626,0.0209609114
2194,0.44,38.24%,0.002,0.168256,0.000543488
2195,24.73,27.59%,0.0011,6.823007,0.0196976923
2196,4.45,16.15%,0,0.718675,0
2197,13.48,14.06%,0.0076,1.895288,0.0880438112
2198,21.73,12.53%,0.0015,2.722769,0.0285108465
2199,10.94,4.20%,0.0035,0.45948,0.03668182
2200,4.04,19.52%,0.0065,0.788608,0.021134048
2201,19.08,9.56%,0.0005,1.824048,0.008627976
2202,12.84,28.83%,0.0058,3.701772,0.0530017224
2203,14.42,12.69%,0.002,1.829898,0.025180204
2204,4.48,33.09%,0.0096,1.482432,0.0287766528
2205,4.09,27.34%,0,1.118206,0
2206,9.04,6.71%,0.01,0.606584,0.08433416
2207,11.14,36.11%,0.0025,4.022654,0.017793365
2208,22.88,15.67%,0.0028,3.585296,0.0540251712
2209,16.45,31.78%,0.0091,5.22781,0.102121929
2210,11.73,38.23%,0.0064,4.484379,0.0463719744
2211,7.33,0.68%,0.0037,0.049844,0.0269365772
2212,14.93,32.52%,0.0008,4.855236,0.0080598112
2213,10.7,0.63%,0.0066,0.06741,0.070175094
2214,3.96,32.82%,0.0063,1.299672,0.0167600664
2215,1.49,37.79%,0.0026,0.563071,0.0024100154
2216,10.51,30.14%,0.0073,3.167714,0.0535986878
2217,14.19,3.75%,0.0001,0.532125,0.0013657875
2218,19.79,27.35%,0.0064,5.412565,0.092015584
2219,24.04,23.75%,0.0003,5.7095,0.00549915
2220,10.45,37.88%,0.0072,3.95846,0.046739088
2221,22.62,1.68%,0.0004,0.380016,0.0088959936
2222,2.44,16.96%,0.0012,0.413824,0.0024314112
2223,11.28,17.79%,0.0012,2.006712,0.0111279456
2224,13.88,9.65%,0.0096,1.33942,0.120389568
2225,13.91,38.17%,0.0005,5.309447,0.0043002765
2226,2.03,30.33%,0.0001,0.615699,0.0001414301
2227,5.13,29.17%,0.0011,1.496421,0.0039969369
2228,14.54,8.09%,0.0016,1.176286,0.0213819424
2229,18.23,20.96%,0.0002,3.821008,0.0028817984
2230,13.99,13.34%,0.0032,1.866266,0.0387959488
2231,15.41,5.82%,0.0056,0.896862,0.0812735728
2232,3.46,8.69%,0.0002,0.300674,0.0006318652
2233,13.38,29.41%,0.0073,3.935058,0.0689480766
2234,19.08,32.95%,0.0099,6.28686,0.126652086
2235,2.16,0.14%,0.0064,0.003024,0.0138046464
2236,19.92,22.58%,0.0079,4.497936,0.1218343056
2237,5.86,8.50%,0.0064,0.4981,0.03431616
2238,14.83,5.98%,0.0098,0.886834,0.1366430268
2239,1.42,24.19%,0.0081,0.343498,0.0087196662
2240,12.31,19.21%,0.0078,2.364751,0.0775729422
2241,22.05,25.70%,0.0034,5.66685,0.05570271
2242,15.13,6.60%,0.0061,0.99858,0.086201662
2243,12.6,0.77%,0.004,0.09702,0.05001192
2244,11.58,27.38%,0.0009,3.170604,0.0075684564
2245,16.28,33.98%,0.0093,5.531944,0.0999569208
2246,8.16,17.89%,0.0076,1.459824,0.0509213376
2247,18.4,32.77%,0.004,6.02968,0.04948128
2248,14.22,4.68%,0.0013,0.665496,0.0176208552
2249,10.22,31.60%,0.0094,3.22952,0.065710512
2250,9.43,39.08%,0.0064,3.685244,0.0367664384
2251,1.29,0.38%,0.0042,0.004902,0.0053974116
2252,15.13,15.31%,0.0039,2.316403,0.0499730283
2253,22.37,27.59%,0.0092,6.171883,0.1490226764
2254,1.24,15.37%,0.007,0.190588,0.007345884
2255,10.64,19.80%,0.0084,2.10672,0.071679552
2256,2.66,35.44%,0.005,0.942704,0.00858648
2257,6.24,12.89%,0.0012,0.804336,0.0065227968
2258,11.35,8.48%,0.0034,0.96248,0.035317568
2259,5.94,8.28%,0.0047,0.491832,0.0256063896
2260,16.06,18.78%,0.008,3.016068,0.104351456
2261,8.34,29.33%,0.0052,2.446122,0.0306481656
2262,2.82,23.19%,0.0061,0.653958,0.0132128562
2263,4.14,14.42%,0.0078,0.596988,0.0276354936
2264,13.81,0.80%,0.0084,0.11048,0.115075968
2265,17.38,38.57%,0.0012,6.703466,0.0128118408
2266,17.6,14.57%,0.003,2.56432,0.04510704
2267,14.82,17.29%,0.0038,2.562378,0.0465789636
2268,14.31,25.84%,0.0081,3.697704,0.0859595976
2269,11.56,30.10%,0.0084,3.47956,0.067875696
2270,19.5,34.01%,0.0047,6.63195,0.060479835
2271,3.37,4.75%,0.0091,0.160075,0.0292103175
2272,22.98,21.56%,0.006,4.954488,0.108153072
2273,10.49,3.48%,0.0083,0.365052,0.0840370684
2274,18.31,30.46%,0.0059,5.577226,0.0751233666
2275,4.78,19.92%,0.0044,0.952176,0.0168424256
2276,22.47,26.32%,0.0085,5.914104,0.140725116
2277,24.7,19.28%,0.007,4.76216,0.13956488
2278,9.31,20.72%,0.0037,1.929032,0.0273095816
2279,15.89,0.59%,0.0028,0.093751,0.0442294972
2280,11.12,33.03%,0.0056,3.672936,0.0417035584
2281,17.13,3.29%,0.0005,0.563577,0.0082832115
2282,6.3,11.38%,0.0041,0.71694,0.022890546
2283,19.75,26.00%,0.0063,5.135,0.0920745
2284,8.44,38.37%,0.0042,3.238428,0.0218466024
2285,14.16,6.87%,0.0082,0.972792,0.1081351056
2286,16.69,12.56%,0.004,2.096264,0.058374944
2287,3.74,16.01%,0.0043,0.598774,0.0135072718
2288,3.76,11.43%,0.0089,0.429768,0.0296390648
2289,11.45,7.34%,0.0039,0.84043,0.041377323
2290,21.45,18.96%,0.0046,4.06692,0.079962168
2291,10.98,37.04%,0.0089,4.066992,0.0615257712
2292,19.23,2.26%,0.0083,0.434598,0.1560018366
2293,9.68,33.93%,0.0087,3.284424,0.0556415112
2294,15.81,15.40%,0.0071,2.43474,0.094964346
2295,3.14,4.94%,0.0002,0.155116,0.0005969768
2296,24.12,22.66%,0.0056,5.465592,0.1044646848
2297,8.8,15.35%,0.005,1.3508,0.037246
2298,11.5,24.55%,0.0045,2.82325,0.039045375
2299,18.78,16.63%,0.0001,3.123114,0.0015656886
2300,17.81,18.06%,0.0081,3.216486,0.1182074634
2301,15.37,37.81%,0.0045,5.811397,0.0430137135
2302,7.16,28.55%,0.0018,2.04418,0.009208476
2303,0.41,34.78%,0.007,0.142598,0.001871814
2304,12.11,11.49%,0.0035,1.391439,0.0375149635
2305,24.9,31.07%,0.0047,7.73643,0.080668779
2306,0.75,26.56%,0.0064,0.1992,0.00352512
2307,1.28,22.51%,0.0023,0.288128,0.0022813056
2308,14.57,38.82%,0.005,5.656074,0.04456963
2309,6.27,39.04%,0.0073,2.447808,0.0279020016
2310,8.76,25.67%,0.0089,2.248692,0.0579506412
2311,22.32,38.41%,0.0025,8.573112,0.03436722
2312,12.52,31.87%,0.0048,3.990124,0.0409434048
2313,11.75,18.18%,0.0061,2.13615,0.058644485
2314,7.52,7.94%,0.004,0.597088,0.027691648
2315,11.81,37.28%,0.0076,4.402768,0.0562949632
2316,1.76,39.70%,0.0099,0.69872,0.010506672
2317,21.43,20.06%,0.0018,4.298858,0.0308360556
2318,24.49,32.41%,0.0012,7.937209,0.0198633492
2319,0.95,28.80%,0.0067,0.2736,0.00453188
2320,17.48,15.81%,0.0028,2.763588,0.0412059536
2321,24.07,39.49%,0.0004,9.505243,0.0058259028
2322,8.73,22.90%,0.0059,1.99917,0.039711897
2323,8.08,25.38%,0.0006,2.050704,0.0036175776
2324,3.95,11.07%,0.0061,0.437265,0.0214276835
2325,0.03,33.68%,0.002,0.010104,3.9792E-05
2326,4.85,16.66%,0.0036,0.80801,0.014551164
2327,5.31,24.08%,0.0018,1.278648,0.0072564336
2328,16.57,7.03%,0.001,1.164871,0.015405129
2329,10.01,20.27%,0.0045,2.029027,0.0359143785
2330,9.77,18.55%,0.004,1.812335,0.03183066
2331,12.22,30.07%,0.0018,3.674554,0.0153818028
2332,7.75,34.14%,0.0049,2.64585,0.025010335
2333,23.78,21.57%,0.0082,5.129346,0.1529353628
2334,18.92,34.02%,0.0029,6.436584,0.0362019064
2335,17.84,30.54%,0.0088,5.448336,0.1090466432
2336,14.39,34.39%,0.0077,4.948721,0.0726978483
2337,0.38,21.93%,0.0036,0.083334,0.0010679976
2338,18.01,32.94%,0.0012,5.932494,0.0144930072
2339,3.92,21.59%,0.0015,0.846328,0.004610508
2340,5.5,38.18%,0.0006,2.0999,0.00204006
2341,18.78,30.08%,0.0001,5.649024,0.0013130976
2342,19.06,15.13%,0.0045,2.883778,0.072792999
2343,8.79,15.39%,0.0011,1.352781,0.0081809409
2344,14.51,7.64%,0.0097,1.108564,0.1299939292
2345,10.86,29.37%,0.0055,3.189582,0.042187299
2346,9.99,6.90%,0.0041,0.68931,0.038132829
2347,9.46,34.77%,0.0046,3.289242,0.0283854868
